order_id,customer_id,product_id,warehouse_id,quantity,selling_price,discount,final_amount,payment_method,order_status,order_date
O000120,C0161,P0123,W003,5,614.42,551.2,2520.9,Net Banking,Cancelled,2026-07-18
O000121,C0083,P0023,W013,9,673.26,179.29,5880.05,Credit Card,Pending,2026-06-11
O000122,C0207,P0057,W003,9,500.43,176.17,4327.7,Debit Card,Pending,2026-03-15
O000123,C0410,P0056,W002,6,73.8,85.5,357.3,Credit Card,Cancelled,2026-06-18
O000124,C0010,P0154,W010,3,687.94,134.72,1929.1,UPI,Cancelled,2025-11-29
O000125,C0066,P0193,W019,3,327.81,183.65,799.78,Debit Card,Pending,2025-12-14
O000126,C0418,P0037,W017,2,536.12,16.62,1055.62,Net Banking,Completed,2025-12-08
O000127,C0380,P0181,W019,8,510.35,415.89,3666.91,Net Banking,Cancelled,2026-05-14
O000128,C0174,P0106,W017,9,395.02,176.63,3378.55,Debit Card,Cancelled,2026-01-29
O000129,C0304,P0105,W005,7,537.76,239.06,3525.26,Cash,Cancelled,2026-03-31
O000130,C0326,P0116,W003,8,446.14,379.88,3189.24,Net Banking,Pending,2025-09-07
O000131,C0339,P0063,W006,4,152.21,92.54,516.3,Cash,Completed,2026-05-21
O000132,C0276,P0105,W014,5,537.76,300.03,2388.77,Cash,Pending,2026-07-31
O000133,C0247,P0177,W005,4,764.51,479.71,2578.33,Debit Card,Cancelled,2025-11-24
O000134,C0412,P0045,W013,8,74.54,40.14,556.18,Debit Card,Pending,2026-03-26
O000135,C0306,P0025,W019,2,464.04,23.5,904.58,UPI,Pending,2026-03-20
O000136,C0140,P0061,W017,7,427.25,242.09,2748.66,UPI,Pending,2026-01-03
O000137,C0007,P0072,W011,10,712.27,928.58,6194.12,Net Banking,Cancelled,2026-05-09
O000138,C0075,P0069,W011,7,779.75,211.55,5246.7,Credit Card,Completed,2025-11-17
O000139,C0107,P0122,W004,1,472.24,47.42,424.82,Cash,Completed,2026-02-02
O000140,C0173,P0020,W003,9,658.43,496.18,5429.69,Cash,Cancelled,2026-03-04
O000141,C0345,P0055,W011,7,691.95,798.63,4045.02,Net Banking,Pending,2026-03-12
O000142,C0045,P0132,W010,8,661.28,248.98,5041.26,Debit Card,Completed,2025-10-13
O000143,C0181,P0141,W014,10,473.02,449.69,4280.51,Debit Card,Cancelled,2026-07-31
O000144,C0015,P0021,W007,8,244.16,286.8,1666.48,Debit Card,Pending,2026-07-06
O000145,C0326,P0082,W006,7,524.26,493.55,3176.27,Cash,Cancelled,2025-09-08
O000146,C0362,P0124,W013,4,711.13,43.08,2801.44,Net Banking,Completed,2026-03-20
O000147,C0039,P0011,W009,10,311.47,262.6,2852.1,Cash,Pending,2026-01-22
O000148,C0242,P0032,W009,2,562.17,139.31,985.03,Debit Card,Pending,2026-07-20
O000149,C0395,P0170,W007,10,505.56,535.12,4520.48,Cash,Cancelled,2026-06-19
O000150,C0252,P0028,W011,5,169.73,106.14,742.51,Net Banking,Pending,2026-07-22
O000151,C0248,P0052,W004,3,697.25,239.08,1852.67,Cash,Completed,2026-01-05
O000152,C0446,P0102,W020,7,580.08,481.44,3579.12,UPI,Completed,2026-03-04
O000153,C0306,P0072,W015,6,712.27,455.9,3817.72,Net Banking,Completed,2025-11-17
O000154,C0377,P0136,W019,8,596.21,684.96,4084.72,Debit Card,Cancelled,2026-04-12
O000155,C0206,P0115,W001,5,346.43,217.93,1514.22,Credit Card,Pending,2025-11-05
O000156,C0242,P0181,W011,6,510.35,555.03,2507.07,Net Banking,Cancelled,2025-11-07
O000157,C0332,P0040,W017,1,533.67,13.26,520.41,Net Banking,Cancelled,2026-06-21
O000158,C0128,P0162,W016,8,472.72,681.07,3100.69,Cash,Completed,2026-05-27
O000159,C0114,P0170,W004,1,505.56,82.4,423.16,Credit Card,Cancelled,2026-04-24
O000160,C0384,P0081,W020,4,583.65,400.77,1933.83,UPI,Pending,2026-07-07
O000161,C0323,P0096,W006,8,223.64,353.95,1435.17,Net Banking,Completed,2025-12-19
O000162,C0148,P0113,W013,7,229.52,36.47,1570.17,Debit Card,Pending,2026-02-20
O000163,C0085,P0014,W016,9,248.91,305.49,1934.7,Debit Card,Pending,2026-01-09
O000164,C0455,P0194,W006,3,316.48,68.11,881.33,Cash,Completed,2026-01-14
O000165,C0330,P0134,W009,10,127.8,103.94,1174.06,Credit Card,Cancelled,2026-05-27
O000166,C0318,P0134,W014,2,127.8,40.95,214.65,Credit Card,Pending,2026-07-25
O000167,C0028,P0084,W014,6,611.84,505.05,3165.99,Debit Card,Completed,2026-08-02
O000168,C0409,P0091,W008,8,128.87,119.36,911.6,Debit Card,Pending,2026-06-08
O000169,C0355,P0151,W008,8,359.46,432.51,2443.17,UPI,Cancelled,2025-11-06
O000170,C0267,P0015,W008,2,435.76,137.8,733.72,Cash,Completed,2026-07-17
O000171,C0376,P0165,W019,7,221.44,10.84,1539.24,UPI,Completed,2026-03-16
O000172,C0015,P0163,W018,2,561.9,10.44,1113.36,Debit Card,Cancelled,2026-01-09
O000173,C0201,P0074,W018,5,318.47,95.67,1496.68,Cash,Completed,2026-02-19
O000174,C0398,P0133,W008,5,659.87,609.49,2689.86,Cash,Cancelled,2025-10-10
O000175,C0209,P0080,W005,4,24.4,16.8,80.8,Debit Card,Pending,2025-08-13
O000176,C0294,P0158,W010,2,498.73,74.33,923.13,Credit Card,Cancelled,2026-06-10
O000177,C0252,P0100,W002,7,451.54,530.24,2630.54,Debit Card,Completed,2026-03-01
O000178,C0097,P0023,W001,1,673.26,23.17,650.09,Cash,Completed,2025-10-24
O000179,C0314,P0127,W006,4,830.32,467.11,2854.17,Debit Card,Completed,2025-08-19
O000180,C0256,P0025,W018,3,464.04,19.76,1372.36,Net Banking,Pending,2025-12-04
O000181,C0387,P0126,W012,5,352.47,176.52,1585.83,Credit Card,Completed,2026-01-29
O000182,C0487,P0199,W018,1,550.92,26.06,524.86,Net Banking,Completed,2026-07-02
O000183,C0300,P0045,W001,4,74.54,20.88,277.28,Net Banking,Pending,2026-01-10
O000184,C0266,P0003,W003,8,307.09,99.18,2357.54,Credit Card,Cancelled,2026-05-09
O000185,C0012,P0087,W005,6,52.58,0.6,314.88,Debit Card,Completed,2025-10-01
O000186,C0331,P0143,W004,2,276.16,85.18,467.14,Credit Card,Completed,2026-02-20
O000187,C0468,P0108,W005,8,467.1,106.83,3629.97,UPI,Cancelled,2025-12-15
O000188,C0365,P0125,W018,9,184.54,50.51,1610.35,Debit Card,Cancelled,2026-05-06
O000189,C0150,P0072,W017,3,712.27,252.0,1884.81,Net Banking,Cancelled,2026-06-16
O000190,C0183,P0086,W008,4,781.27,374.7,2750.38,Debit Card,Pending,2026-05-23
O000191,C0244,P0126,W009,4,352.47,5.85,1404.03,Credit Card,Pending,2025-10-24
O000192,C0043,P0125,W020,6,184.54,161.21,946.03,UPI,Cancelled,2026-03-20
O000193,C0094,P0010,W003,4,275.52,202.05,900.03,Credit Card,Completed,2025-12-10
O000194,C0129,P0028,W001,9,169.73,169.01,1358.56,Cash,Cancelled,2026-03-14
O000195,C0147,P0166,W009,9,399.5,320.83,3274.67,UPI,Completed,2026-05-22
O000196,C0325,P0067,W004,1,610.98,110.25,500.73,Debit Card,Cancelled,2025-10-21
O000197,C0455,P0105,W018,10,537.76,889.72,4487.88,UPI,Cancelled,2025-08-23
O000198,C0426,P0146,W016,7,595.2,419.77,3746.63,Net Banking,Cancelled,2026-01-02
O000199,C0500,P0045,W015,9,74.54,21.63,649.23,UPI,Pending,2026-01-07
O000200,C0278,P0125,W006,1,184.54,17.53,167.01,Debit Card,Pending,2025-12-28
O000201,C0273,P0151,W011,3,359.46,138.27,940.11,Net Banking,Cancelled,2025-09-11
O000202,C0002,P0191,W015,3,583.75,207.49,1543.76,UPI,Completed,2026-03-23
O000203,C0081,P0130,W016,5,247.63,68.51,1169.64,Credit Card,Cancelled,2026-07-20
O000204,C0372,P0062,W003,6,152.46,57.77,856.99,Net Banking,Pending,2026-07-09
O000205,C0042,P0112,W012,8,635.62,707.36,4377.6,Cash,Completed,2025-11-03
O000206,C0265,P0024,W014,7,574.38,760.37,3260.29,Cash,Completed,2026-07-31
O000207,C0448,P0160,W005,10,103.95,102.17,937.33,UPI,Cancelled,2025-10-31
O000208,C0419,P0097,W008,1,339.95,45.07,294.88,Credit Card,Completed,2026-05-21
O000209,C0002,P0141,W009,6,473.02,53.68,2784.44,Cash,Completed,2025-10-30
O000210,C0229,P0188,W011,8,149.25,36.45,1157.55,Debit Card,Pending,2026-02-24
O000211,C0262,P0052,W005,1,697.25,88.4,608.85,Credit Card,Cancelled,2026-01-23
O000212,C0250,P0004,W002,6,47.98,27.32,260.56,Cash,Pending,2026-06-29
O000213,C0199,P0106,W003,2,395.02,43.07,746.97,Net Banking,Cancelled,2026-05-21
O000214,C0318,P0165,W011,4,221.44,98.93,786.83,Debit Card,Cancelled,2025-10-08
O000215,C0415,P0086,W001,3,781.27,117.47,2226.34,Credit Card,Cancelled,2026-06-27
O000216,C0222,P0127,W003,3,830.32,333.03,2157.93,Credit Card,Completed,2026-07-24
O000217,C0016,P0077,W018,2,705.01,36.29,1373.73,Net Banking,Cancelled,2026-06-10
O000218,C0352,P0003,W004,3,307.09,14.12,907.15,Net Banking,Completed,2026-07-15
O000219,C0481,P0026,W002,3,424.88,173.89,1100.75,Credit Card,Cancelled,2026-04-05
O000220,C0228,P0152,W015,2,41.85,16.31,67.39,Cash,Pending,2026-02-05
O000221,C0482,P0105,W016,4,537.76,58.24,2092.8,Cash,Completed,2026-02-28
O000222,C0328,P0187,W008,9,557.43,905.97,4110.9,Credit Card,Completed,2026-02-06
O000223,C0021,P0126,W011,1,352.47,55.74,296.73,Cash,Pending,2026-06-15
O000224,C0069,P0006,W008,5,615.25,265.43,2810.82,Net Banking,Cancelled,2025-10-10
O000225,C0038,P0142,W007,9,465.39,339.7,3848.81,Credit Card,Pending,2026-02-07
O000226,C0401,P0109,W018,7,51.49,38.2,322.23,Credit Card,Pending,2026-03-21
O000227,C0168,P0086,W016,8,781.27,119.81,6130.35,Cash,Cancelled,2026-01-18
O000228,C0172,P0089,W020,5,380.36,36.04,1865.76,Credit Card,Cancelled,2026-05-18
O000229,C0148,P0188,W014,7,149.25,12.46,1032.29,UPI,Completed,2025-12-29
O000230,C0159,P0099,W016,10,703.35,1287.22,5746.28,UPI,Pending,2025-12-15
O000231,C0051,P0138,W016,2,574.82,221.41,928.23,Debit Card,Cancelled,2025-10-31
O000232,C0433,P0170,W006,9,505.56,154.68,4395.36,Credit Card,Completed,2025-09-04
O000233,C0022,P0123,W003,8,614.42,364.63,4550.73,Debit Card,Completed,2026-03-26
O000234,C0300,P0028,W011,4,169.73,88.6,590.32,Debit Card,Completed,2025-11-05
O000235,C0388,P0180,W004,3,83.12,23.73,225.63,Net Banking,Cancelled,2025-08-27
O000236,C0174,P0001,W004,3,711.01,144.23,1988.8,Credit Card,Pending,2026-07-27
O000237,C0053,P0001,W010,8,711.01,163.88,5524.2,Debit Card,Cancelled,2025-09-29
O000238,C0006,P0010,W003,5,275.52,38.95,1338.65,Credit Card,Pending,2026-07-23
O000239,C0108,P0108,W011,10,467.1,580.41,4090.59,Cash,Completed,2026-03-18
O000240,C0278,P0112,W009,7,635.62,246.54,4202.8,Net Banking,Cancelled,2026-02-23
O000241,C0449,P0157,W018,6,596.45,541.35,3037.35,Net Banking,Completed,2025-11-17
O000242,C0218,P0040,W019,6,533.67,152.22,3049.8,Net Banking,Completed,2026-03-26
O000243,C0450,P0027,W011,1,78.28,2.3,75.98,Cash,Completed,2025-09-14
O000244,C0291,P0133,W016,2,659.87,157.41,1162.33,Cash,Cancelled,2025-10-13
O000245,C0276,P0044,W015,10,509.99,5.04,5094.86,Net Banking,Cancelled,2026-06-12
O000246,C0282,P0154,W009,4,687.94,163.45,2588.31,Debit Card,Completed,2026-05-19
O000247,C0175,P0126,W012,3,352.47,141.31,916.1,Cash,Pending,2026-06-01
O000248,C0213,P0033,W002,4,316.3,203.12,1062.08,Cash,Completed,2026-08-03
O000249,C0426,P0001,W012,5,711.01,404.01,3151.04,Cash,Completed,2026-06-16
O000250,C0215,P0163,W014,8,561.9,248.59,4246.61,Net Banking,Pending,2025-10-14
O000251,C0052,P0056,W019,3,73.8,4.95,216.45,Cash,Cancelled,2025-08-18
O000252,C0424,P0095,W009,4,121.43,78.01,407.71,Credit Card,Completed,2025-10-29
O000253,C0296,P0182,W013,7,103.87,59.89,667.2,Cash,Completed,2025-10-30
O000254,C0003,P0111,W016,8,638.29,802.76,4303.56,Debit Card,Completed,2025-10-11
O000255,C0043,P0132,W016,5,661.28,170.9,3135.5,Credit Card,Cancelled,2026-05-19
O000256,C0463,P0093,W015,7,102.56,138.88,579.04,Credit Card,Cancelled,2026-04-30
O000257,C0462,P0066,W003,10,156.35,27.61,1535.89,Net Banking,Cancelled,2025-11-15
O000258,C0372,P0057,W017,7,500.43,657.87,2845.14,Net Banking,Cancelled,2026-06-06
O000259,C0179,P0061,W006,3,427.25,206.2,1075.55,UPI,Pending,2026-03-07
O000260,C0138,P0111,W013,3,638.29,284.26,1630.61,Net Banking,Cancelled,2026-04-19
O000261,C0130,P0148,W011,10,538.64,1004.94,4381.46,Cash,Completed,2026-04-26
O000262,C0293,P0192,W012,6,392.33,232.49,2121.49,Cash,Pending,2026-03-25
O000263,C0354,P0061,W014,2,427.25,59.05,795.45,UPI,Completed,2025-12-23
O000264,C0128,P0051,W004,1,229.62,1.38,228.24,Cash,Pending,2025-09-29
O000265,C0484,P0174,W017,7,288.11,59.15,1957.62,UPI,Pending,2025-12-16
O000266,C0138,P0071,W002,2,324.09,82.54,565.64,Credit Card,Completed,2025-08-16
O000267,C0085,P0002,W012,9,318.95,188.97,2681.58,UPI,Completed,2026-07-20
O000268,C0153,P0132,W014,9,661.28,963.99,4987.53,Cash,Cancelled,2026-06-23
O000269,C0336,P0062,W012,10,152.46,48.86,1475.74,Net Banking,Pending,2026-01-20
O000270,C0079,P0111,W004,3,638.29,254.82,1660.05,Credit Card,Completed,2026-06-16
O000271,C0224,P0094,W010,4,536.83,262.85,1884.47,Cash,Completed,2026-02-18
O000272,C0213,P0123,W016,3,614.42,29.43,1813.83,Net Banking,Cancelled,2025-12-09
O000273,C0472,P0016,W011,10,646.11,1166.19,5294.91,Cash,Completed,2026-04-02
O000274,C0101,P0038,W006,4,210.73,109.02,733.9,Cash,Cancelled,2026-08-03
O000275,C0199,P0091,W002,4,128.87,27.5,487.98,Cash,Pending,2026-06-22
O000276,C0472,P0116,W010,3,446.14,243.37,1095.05,Debit Card,Pending,2026-03-19
O000277,C0440,P0129,W009,8,649.05,1014.12,4178.28,UPI,Completed,2026-04-08
O000278,C0011,P0032,W007,4,562.17,228.27,2020.41,UPI,Cancelled,2025-09-06
O000279,C0152,P0152,W008,10,41.85,21.77,396.73,Debit Card,Pending,2026-05-23
O000280,C0244,P0118,W017,7,545.32,614.19,3203.05,UPI,Pending,2026-02-21
O000281,C0107,P0096,W005,3,223.64,97.9,573.02,UPI,Pending,2026-01-02
O000282,C0184,P0004,W020,8,47.98,19.21,364.63,Cash,Completed,2025-09-09
O000283,C0368,P0190,W017,10,537.59,984.71,4391.19,UPI,Completed,2026-05-14
O000284,C0332,P0081,W019,9,583.65,39.74,5213.11,UPI,Pending,2026-04-23
O000285,C0129,P0186,W019,10,703.11,518.72,6512.38,Debit Card,Cancelled,2026-02-23
O000286,C0244,P0058,W004,3,607.88,343.47,1480.17,Credit Card,Cancelled,2026-04-23
O000287,C0265,P0183,W017,2,518.44,116.67,920.21,Net Banking,Pending,2026-04-12
O000288,C0229,P0028,W010,3,169.73,29.58,479.61,Net Banking,Cancelled,2025-10-27
O000289,C0227,P0029,W006,3,380.84,163.15,979.37,Cash,Completed,2025-08-20
O000290,C0180,P0008,W011,2,707.65,96.86,1318.44,Cash,Completed,2026-01-11
O000291,C0144,P0148,W004,10,538.64,136.55,5249.85,Debit Card,Completed,2026-01-17
O000292,C0218,P0099,W011,6,703.35,790.67,3429.43,UPI,Completed,2025-09-11
O000293,C0195,P0176,W006,8,708.65,1125.37,4543.83,Cash,Pending,2025-08-28
O000294,C0288,P0153,W004,2,97.2,37.67,156.73,Net Banking,Completed,2026-03-20
O000295,C0355,P0096,W007,5,223.64,72.34,1045.86,Net Banking,Pending,2025-10-28
O000296,C0340,P0157,W016,10,596.45,189.32,5775.18,Credit Card,Pending,2025-08-25
O000297,C0452,P0001,W005,9,711.01,542.48,5856.61,Debit Card,Completed,2025-10-08
O000298,C0457,P0119,W017,6,123.87,42.68,700.54,UPI,Cancelled,2026-01-29
O000299,C0029,P0074,W010,3,318.47,163.01,792.4,Debit Card,Pending,2025-10-31
